Volatility 3 Framework 2.27.0

PID	Process	Args

4	System	-
140	Registry	-
376	smss.exe	\SystemRoot\System32\smss.exe
496	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
572	wininit.exe	wininit.exe
580	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
672	winlogon.exe	winlogon.exe
716	services.exe	C:\Windows\system32\services.exe
728	lsass.exe	C:\Windows\system32\lsass.exe
860	svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch -p
884	fontdrvhost.ex	"fontdrvhost.exe"
892	fontdrvhost.ex	"fontdrvhost.exe"
984	svchost.exe	C:\Windows\system32\svchost.exe -k RPCSS -p
340	svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch -p -s LSM
796	dwm.exe	"dwm.exe"
1104	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts
1160	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc
1168	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService
1220	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p
1280	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog
1320	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule
1368	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s ProfSvc
1432	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s nsi
1472	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p
1492	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s UserManager
1576	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp
1688	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s DispBrokerDesktopSvc
1744	svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s NlaSvc
1772	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s EventSystem
1784	svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain
1800	svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs -p -s Themes
1932	MemCompression	-
1976	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s SENS
1152	svchost.exe	C:\Windows\System32\svchost.exe -k LocalService -p -s netprofm
1444	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder
1556	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s FontCache
2220	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
2236	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p -s NcdAutoSetup
2360	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s fdPHost
2448	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService -p -s Dnscache
2460	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
2480	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p
2564	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p -s FDResPub
2576	svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs -p -s ShellHWDetection
2592	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s Winmgmt
2600	svchost.exe	C:\Windows\system32\svchost.exe -k appmodel -p -s StateRepository
2748	spoolsv.exe	C:\Windows\System32\spoolsv.exe
2780	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s WinHttpAutoProxySvc
2872	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p
2996	svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s LanmanWorkstation
3200	svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s DeviceAssociationService
3260	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p -s DPS
3268	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService -p -s CryptSvc
3276	svchost.exe	C:\Windows\System32\svchost.exe -k NetSvcs -p -s iphlpsvc
3292	svchost.exe	C:\Windows\System32\svchost.exe -k utcsvc -p
3300	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TrkWks
3308	VGAuthService.	"C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe"
3320	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s SstpSvc
3328	vm3dservice.ex	"C:\Program Files\VMware\VMware Tools\vm3dservice.exe"
3360	vmtoolsd.exe	"C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"
3440	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s WpnService
3508	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s LanmanServer
3624	vm3dservice.ex	"C:\Program Files\VMware\VMware Tools\vm3dservice.exe" -n
3636	dasHost.exe	dashost.exe {89ffcec7-6160-4f6c-b563ba0a9fbb312e}
3728	svchost.exe	C:\Windows\System32\svchost.exe -k LocalService -p -s WdiServiceHost
3808	svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs
3888	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -s RmSvc
4104	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p -s SSDPSRV
4168	WmiPrvSE.exe	C:\Windows\system32\wbem\wmiprvse.exe
4228	dllhost.exe	C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}
4552	msdtc.exe	C:\Windows\System32\msdtc.exe
2300	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s wuauserv
5216	sihost.exe	sihost.exe
5244	svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s CDPUserSvc
5292	svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService
5348	MicrosoftEdgeU	"C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe" /c
5392	taskhostw.exe	taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}
5444	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s TokenBroker
5592	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TabletInputService
5684	ctfmon.exe	"ctfmon.exe"
5788	userinit.exe	-
5832	explorer.exe	C:\Windows\Explorer.EXE
5848	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s CDPSvc
5940	svchost.exe	C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc
6452	StartMenuExper	"C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe" -ServerName:App.AppXywbrabmsek0gm3tkwpr5kwzbs55tkqay.mca
6536	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
6656	SearchIndexer.	C:\Windows\system32\SearchIndexer.exe /Embedding
6688	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s WdiSystemHost
6756	taskhostw.exe	taskhostw.exe
6772	WmiPrvSE.exe	C:\Windows\system32\wbem\wmiprvse.exe
6804	SearchApp.exe	-
7016	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
6412	SkypeApp.exe	"C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\SkypeApp.exe" -ServerName:App.AppXffn3yxqvgawq9fpmnhy90fr3y01d1t5b.mca
